"global_instance_id","family","normalized_trust_status","challenge_type","severity","reason","resolution_criterion"
"CATTRYSSE1990::CAT-SET1-50x8::TEST1","CATTRYSSE1990","LITERATURE_BEST_REPORTED","CHECKER_VALIDATION","MEDIUM","The best-reported objective has no checker-verified complete solution.","Acquire a complete solution and validate it with the repository checker."
"CATTRYSSE1990::CAT-SET1-50x8::TEST10","CATTRYSSE1990","LITERATURE_BEST_REPORTED","CHECKER_VALIDATION","MEDIUM","The best-reported objective has no checker-verified complete solution.","Acquire a complete solution and validate it with the repository checker."
"CATTRYSSE1990::CAT-SET1-50x8::TEST11","CATTRYSSE1990","LITERATURE_BEST_REPORTED","CHECKER_VALIDATION","MEDIUM","The best-reported objective has no checker-verified complete solution.","Acquire a complete solution and validate it with the repository checker."
"CATTRYSSE1990::CAT-SET1-50x8::TEST12","CATTRYSSE1990","LITERATURE_BEST_REPORTED","CHECKER_VALIDATION","MEDIUM","The best-reported objective has no checker-verified complete solution.","Acquire a complete solution and validate it with the repository checker."
"CATTRYSSE1990::CAT-SET1-50x8::TEST13","CATTRYSSE1990","LITERATURE_BEST_REPORTED","CHECKER_VALIDATION","MEDIUM","The best-reported objective has no checker-verified complete solution.","Acquire a complete solution and validate it with the repository checker."
"CATTRYSSE1990::CAT-SET1-50x8::TEST14","CATTRYSSE1990","LITERATURE_BEST_REPORTED","CHECKER_VALIDATION","MEDIUM","The best-reported objective has no checker-verified complete solution.","Acquire a complete solution and validate it with the repository checker."
"CATTRYSSE1990::CAT-SET1-50x8::TEST15","CATTRYSSE1990","LITERATURE_BEST_REPORTED","CHECKER_VALIDATION","MEDIUM","The best-reported objective has no checker-verified complete solution.","Acquire a complete solution and validate it with the repository checker."
"CATTRYSSE1990::CAT-SET1-50x8::TEST16","CATTRYSSE1990","LITERATURE_BEST_REPORTED","CHECKER_VALIDATION","MEDIUM","The best-reported objective has no checker-verified complete solution.","Acquire a complete solution and validate it with the repository checker."
"CATTRYSSE1990::CAT-SET1-50x8::TEST17","CATTRYSSE1990","LITERATURE_BEST_REPORTED","CHECKER_VALIDATION","MEDIUM","The best-reported objective has no checker-verified complete solution.","Acquire a complete solution and validate it with the repository checker."
"CATTRYSSE1990::CAT-SET1-50x8::TEST18","CATTRYSSE1990","LITERATURE_BEST_REPORTED","CHECKER_VALIDATION","MEDIUM","The best-reported objective has no checker-verified complete solution.","Acquire a complete solution and validate it with the repository checker."
